Well Label,Sample Name,Type,Size [kDa],Conc. (ng/ul),% Purity,Corr. Area,Migration Time(sec) - Center
Ladder01,Ladder1,?,0.722873655,,,28.58226689,12.21666667
Ladder01,Ladder1,LM,0.995583428,,,1652.825242,12.53333333
Ladder01,Ladder1,Xsys,1.221658643,,,35.13718848,12.75
Ladder01,Ladder1,Xsys,5.342045153,,,672.0437867,14.75
Ladder01,Ladder1,Xsys,6.347698292,,,1725.250865,15.05
Ladder01,Ladder1,Xsys,9.306134051,,,261.5184911,15.78333333
Ladder01,Ladder1,?,13.48507076,,,14.56821025,16.6
Ladder01,Ladder1,L,15.67624974,,,935.4426383,16.96666667
Ladder01,Ladder1,?,18.98415071,,,16.36705634,17.46666667
Ladder01,Ladder1,L,20.53264706,,,588.7205656,17.68333333
Ladder01,Ladder1,L,29.46153716,,,564.6745087,18.78333333
Ladder01,Ladder1,L,47.96753676,,,295.0175872,20.6
Ladder01,Ladder1,L,68.23150375,,,283.4963107,22.23333333
Ladder01,Ladder1,L,119.1867494,,,377.8770397,25.63333333
A01,A1,?,0.725232649,,,47.10901507,12.21976202
A01,A1,LM,0.995583428,,,2616.232119,12.53333333
A01,A1,Xsys,1.164677194,,,62.68200081,12.69837087
A01,A1,Xsys,5.644382891,,,2125.451194,14.84385881
A01,A1,Xsys,6.797017808,,,559.3488136,15.17393387
A01,A1,Xsys,8.370195032,,,1295.287635,15.57002395
A01,A1,Xsys,10.47818762,,,185.4509618,16.03212905
A01,A1,,11.21979156,3.386486469,0.462956645,106.649166,16.18066283
A01,A1,,12.436405,1.745818829,0.238665778,54.98032364,16.41171538
A01,A1,,13.07371277,3.291330692,0.449948178,103.6524659,16.52724165
A01,A1,,15.00208529,3.194320703,0.436686226,100.597372,16.85731672
A01,A1,,16.13099574,1.165109691,0.159278733,36.69229982,17.038858
A01,A1,,17.09087643,1.02329144,0.139891175,32.22607845,17.18739178
A01,A1,,19.34096872,6.496356056,0.888097807,204.5869552,17.51746685
A01,A1,,20.89014715,8.118360481,1.10983728,255.6680449,17.73201564
A01,A1,,23.79784269,4.095906419,0.559939368,128.9906243,18.11160197
A01,A1,,27.76595523,5.193374802,0.709971056,163.5527253,18.59021082
A01,A1,,28.77377655,5.709715182,0.780558437,179.8136115,18.70573709
A01,A1,,32.2204565,9.30520584,1.272087433,293.0448568,19.08532342
A01,A1,,34.10020953,4.105876308,0.561302323,129.3046017,19.28336846
A01,A1,,40.41360437,5.705472101,0.779978378,179.679986,19.91051109
A01,A1,,49.14566834,1.150776034,0.157319221,36.24089611,20.70269125
A01,A1,,53.02284844,1.356617184,0.185459161,42.72336316,21.03276632
A01,A1,,86.83572004,16.62661587,2.272975951,523.6148828,23.55784058
A01,A1,IgG,150.6206523,649.8204254,88.83504685,20464.51597,27.48573389
A02,A2,?,0.71318703,,,48.84417449,12.20387638
A02,A2,LM,0.995583428,,,2647.807631,12.53333333
A02,A2,Xsys,1.164342086,,,66.66815504,12.69806181
A02,A2,Xsys,5.417155007,,,1303.342328,14.77364063
A02,A2,Xsys,6.71792871,,,174.5160689,15.15251612
A02,A2,Xsys,8.276568374,,,640.3865657,15.54786447
A02,A2,Xsys,10.44619936,,,59.92622115,16.02557705
A02,A2,,11.69502693,0.331379535,0.053724312,10.54289537,16.27266977
A02,A2,,13.0318653,1.106465071,0.179383663,35.20237141,16.51976249
A02,A2,,14.95286489,0.371737487,0.060267273,11.82689038,16.84921944
A02,A2,,19.0437346,2.791744272,0.452606527,88.81981125,17.47518766
A02,A2,,20.69725077,4.634561182,0.75136991,147.4493397,17.70580752
A02,A2,,23.58463469,0.864007507,0.140075666,27.48854343,18.08468302
A02,A2,,27.81030187,4.963874496,0.804759239,157.9264979,18.5953413
A02,A2,,31.95226396,6.042742669,0.979668805,192.2508694,19.05658104
A02,A2,,34.29606513,1.48560855,0.240851618,47.26488464,19.30367375
A02,A2,,37.05597016,1.239541598,0.200958456,39.43622339,19.58371217
A02,A2,,39.23970348,6.402976841,1.038071123,203.7117798,19.79785919
A02,A2,,52.63636274,0.384778041,0.062381449,12.24177778,21.00037707
A02,A2,,64.78279279,2.217412233,0.359493977,70.54734129,21.97227509
A02,A2,,87.25912489,13.38390579,2.169841693,425.8112026,23.58661417
A02,A2,IgG,150.9953792,570.5941148,92.50654629,18153.54726,27.50715193
A03,A3,?,0.725814122,,,44.0408592,12.22052384
A03,A3,LM,0.995583428,,,2638.029988,12.53333333
A03,A3,Xsys,1.164242451,,,65.7871239,12.69796991
A03,A3,Xsys,3.735381999,,,6.931046458,14.17969909
A03,A3,Xsys,5.955511972,,,774.4902772,14.93702734
A03,A3,Xsys,8.54955919,,,435.5084915,15.6120373
A03,A3,Xsys,10.59798395,,,11.51266319,16.05655605
A03,A3,,18.79492672,0.578365048,0.185807756,18.29970418,17.43950329
A03,A3,,20.6760736,2.821690165,0.906506917,89.27941873,17.70292181
A03,A3,,27.92354954,2.346369691,0.753803653,74.24008657,18.60842298
A03,A3,,32.07178171,2.27560202,0.731068562,72.00096882,19.06940539
A03,A3,,34.73814592,0.429128331,0.1378634,13.57779406,19.34928757
A03,A3,,40.39828897,1.231452907,0.395621246,38.96366834,19.90905193
A03,A3,,88.38341905,3.421393345,1.099169842,108.25427,23.66276585
