Well Label,Variant ID,Scaffold
A01,SRP1947-A01,IgG
A02,SRP1947-A02,IgG
A03,SRP1947-A03,IgG
A04,SRP1947-A04,IgG
A05,SRP1947-A05,IgG
A06,SRP1947-A06,IgG
A07,SRP1947-A07,IgG
A08,SRP1947-A08,IgG
A09,SRP1947-A09,IgG
A10,SRP1947-A10,IgG
A11,SRP1947-A11,IgG
A12,SRP1947-A12,IgG
B01,SRP1947-B01,IgG
B02,SRP1947-B02,IgG
B03,SRP1947-B03,IgG
B04,SRP1947-B04,IgG
B05,SRP1947-B05,IgG
B06,SRP1947-B06,IgG
B07,SRP1947-B07,IgG
B08,SRP1947-B08,IgG
B09,SRP1947-B09,IgG
B10,SRP1947-B10,IgG
B11,SRP1947-B11,IgG
B12,SRP1947-B12,IgG
C01,SRP1947-C01,IgG
C02,SRP1947-C02,IgG
C03,SRP1947-C03,IgG
C04,SRP1947-C04,IgG
C05,SRP1947-C05,IgG
C06,SRP1947-C06,IgG
C07,SRP1947-C07,IgG
C08,SRP1947-C08,IgG
C09,SRP1947-C09,IgG
C10,SRP1947-C10,IgG
C11,SRP1947-C11,IgG
C12,SRP1947-C12,IgG
D01,SRP1947-D01,IgG
D02,SRP1947-D02,IgG
D03,SRP1947-D03,IgG
D04,SRP1947-D04,IgG
D05,SRP1947-D05,IgG
D06,SRP1947-D06,IgG
D07,SRP1947-D07,IgG
D08,SRP1947-D08,IgG
D09,SRP1947-D09,IgG
D10,SRP1947-D10,IgG
D11,SRP1947-D11,IgG
D12,SRP1947-D12,IgG
E01,SRP1947-E01,IgG
E02,SRP1947-E02,IgG
E03,SRP1947-E03,IgG
E04,SRP1947-E04,IgG
E05,SRP1947-E05,IgG
E06,SRP1947-E06,IgG
E07,SRP1947-E07,IgG
E08,SRP1947-E08,IgG
E09,SRP1947-E09,IgG
E10,SRP1947-E10,IgG
E11,SRP1947-E11,IgG
E12,SRP1947-E12,IgG
F01,SRP1947-F01,IgG
F02,SRP1947-F02,IgG
F03,SRP1947-F03,IgG
F04,SRP1947-F04,IgG
F05,SRP1947-F05,IgG
F06,SRP1947-F06,IgG
F07,SRP1947-F07,IgG
F08,SRP1947-F08,IgG
F09,SRP1947-F09,IgG
F10,SRP1947-F10,IgG
F11,SRP1947-F11,IgG
F12,SRP1947-F12,IgG
G01,SRP1947-G01,IgG
G02,SRP1947-G02,IgG
G03,SRP1947-G03,IgG
G04,SRP1947-G04,IgG
G05,SRP1947-G05,IgG
G06,SRP1947-G06,IgG
G07,SRP1947-G07,IgG
G08,SRP1947-G08,IgG
G09,SRP1947-G09,IgG
G10,SRP1947-G10,IgG
G11,SRP1947-G11,IgG
G12,SRP1947-G12,IgG
H01,SRP1947-H01,IgG
H02,SRP1947-H02,IgG
H03,SRP1947-H03,IgG
H04,SRP1947-H04,IgG
H05,SRP1947-H05,IgG
H06,SRP1947-H06,IgG
H07,SRP1947-H07,IgG
H08,SRP1947-H08,IgG
H09,SRP1947-H09,IgG
H10,SRP1947-H10,IgG
H11,SRP1947-H11,IgG
H12,SRP1947-H12,IgG
